,agressivite,visibilite,hstag,hstagmoyenTweet,longMoyen,frequenceFollowers,frequenceMention,frequenceAmi,refermoyenTweet,retweet,reply,Nombreurl,frenquenTweet,frequenceFavourite,,label
170,0,0.331428571,4,4,76,-1.34E-04,-2.64E-06,0,0,0,0,1,0,-1.67E-06,,1
171,0.002857143,0.124285714,3,1.5,65.5,-4.37E-05,-2.23E-06,0,0,0,0,2,-5.08E-08,-1.06E-04,,1
172,0.037142857,0.29952381,2,0.666666667,124,-1.77E-06,-4.85E-08,0,1,0,0,0,-4.85E-08,-1.22E-05,,1
173,0,0.33,3,3,72,-2.18E-05,-1.02E-06,0,1,0,0,1,0,-1.23E-04,,1
174,0.002857143,0.245714286,2,1,90.5,-4.84E-06,-1.01E-07,0,1,0,0,2,-1.01E-08,-4.95E-04,,1
175,0,0.245714286,1,1,140,-5.74E-05,-3.81E-06,0,2,0,0,0,0,-2.05E-04,,1
176,0.028571429,0.274761905,7,2.333333333,80,-4.65E-05,-4.70E-06,0,0.333333333,0,0,0,-9.29E-08,-1.22E-04,,1
177,0.005714286,0.245714286,2,1,139.5,-7.82E-06,-3.27E-07,-3.94E-09,1,0,0,0,-3.94E-09,-3.56E-06,,1
178,0,0.495714286,5,5,140,-9.15E-07,-1.35E-08,0,1,0,0,1,0,-5.74E-08,,1
179,0,0.164285714,1,1,118,-1.67E-05,-4.74E-07,0,1,0,0,0,0,-1.61E-04,,1
180,0.028571429,0.227857143,11,2.75,88.25,-1.81E-06,-9.79E-08,-4.08E-09,0,0,0,0,-3.67E-08,-8.29E-06,,1
181,0.002857143,0.368571429,3,1.5,139.5,-1.19E-04,-6.13E-06,0,1.5,0,0,1,-7.96E-08,-1.59E-04,,1
182,0.068571429,0.247142857,6,2,123.6666667,-2.52E-06,-1.18E-07,-3.81E-09,0.333333333,0,0,3,-8.77E-08,-1.91E-06,,1
183,0,0.41,2,2,140,-2.22E-06,-2.33E-07,0,3,0,0,2,0,-3.23E-07,,1
184,0.688571429,0.41,6,2,121.3333333,-4.25E-05,-4.84E-06,-3.28E-08,1,0,0,2,-1.55E-06,-2.55E-03,,1
185,0,0.247142857,2,2,140,-3.85E-05,-2.41E-06,0,1,0,0,1,0,-7.43E-05,,1
186,0.031428571,0.494285714,8,4,141,-1.27E-05,-2.27E-07,0,1,0,0,0,-3.90E-08,-2.60E-05,,1
187,0,0.661428571,7,7,140,-5.11E-06,-1.10E-06,0,1,0,0,1,0,-3.03E-05,,1
188,0,0.082857143,1,1,117,-4.34E-03,-1.37E-05,0,0,0,0,1,0,-1.93E-05,,1
189,0,0.245714286,1,1,130,-9.28E-07,-5.69E-08,0,2,0,0,1,0,-5.82E-05,,1
190,0.3,0.531428571,6,1.5,139.5,-8.07E-06,-5.83E-07,-3.89E-09,1.25,0,0,0,-4.05E-07,-3.76E-05,,1
191,0,0,0,0,33,-6.01E-06,-2.98E-07,0,0,0,0,1,0,-2.39E-05,,1
192,1.285714286,1.895714286,65,2.24137931,114.5172414,-8.00E-04,-7.90E-06,-3.65E-08,0.724137931,0,0,26,-1.46E-06,-6.39E-05,,-1
193,0,0.412857143,4,4,140,-3.38E-05,-1.26E-06,0,1,0,0,1,0,-3.52E-05,,1
194,0.828571429,1.396349206,19,2.111111111,139.1111111,-3.46E-02,-0.000144793,0,1.666666667,0,0,4,-1.06E-06,-1.31E-07,,-1
195,0,0.164285714,1,1,106,-2.67E-06,-7.98E-08,0,1,0,0,1,0,-4.26E-05,,1
196,0,0.248571429,3,3,141,-4.48E-05,-1.18E-06,0,0,0,0,1,0,-1.27E-05,,1
197,0,0,0,0,56,-6.58E-06,-3.11E-07,0,0,0,0,1,0,-2.57E-05,,1
198,0,0.164285714,1,1,90,-3.81E-06,-3.35E-07,0,1,0,0,1,0,-2.81E-07,,1
199,0,0.248571429,3,3,79,-5.05E-04,-2.69E-05,0,0,0,0,0,0,-3.24E-04,,1
200,0,0.33,3,3,112,-5.85E-07,-5.60E-08,0,1,0,0,1,0,-1.55E-06,,1
201,0,0.414285714,5,5,140,-1.32E-05,-2.12E-06,0,0,0,0,1,0,-9.45E-06,,1
202,0,0.082857143,1,1,145,-2.64E-05,-1.13E-06,0,0,0,0,1,0,-8.42E-04,,1
203,0,0.082857143,1,1,140,-1.65E-05,-1.45E-06,0,0,0,0,1,0,-1.72E-05,,1
204,0.014285714,0.571428571,3,1,135.3333333,-1.92E-07,0,0,2,0,0,0,-2.75E-08,-5.37E-06,,1
205,0.088571429,0.512142857,9,2.25,105.5,-9.65E-06,-2.74E-07,0,1,0,0,4,-3.27E-07,-2.04E-05,,1
206,0,0.162857143,0,0,140,-1.50E-05,-1.05E-06,0,2,0,0,0,0,-5.74E-05,,1
207,0,0,0,0,140,-6.46E-03,-5.55E-05,0,0,0,0,1,0,-1.33E-08,,1
208,0.068571429,0.41,4,2,135.5,-2.57E-04,-1.93E-05,-9.62E-09,1.5,0,0,2,-1.06E-07,-1.08E-04,,1
209,0.554285714,0.441714286,7,1.4,139.6,-3.95E-04,-4.64E-06,0,0.8,0,0,2,-6.94E-07,-1.10E-06,,1
210,0,0.082857143,1,1,140,-8.62E-04,-3.46E-06,0,0,0,0,1,0,-4.32E-07,,1
211,0.085714286,0.247142857,4,2,127,-5.82E-04,-3.74E-06,0,0.5,0,0,2,-1.02E-07,-3.56E-05,,1
212,0.002857143,0.452857143,7,3.5,117,-8.99E-07,-4.31E-08,0,1,0,0,2,-6.16E-09,-7.24E-06,,-1
213,0,0.164285714,1,1,102,-4.97E-02,-0.000321954,0,1,0,0,1,0,-3.62E-05,,1
214,0.165714286,1.020420168,59,3.470588235,60.29411765,-3.02E-06,-2.73E-07,-6.91E-09,0.529411765,0,0,4,-1.93E-07,-1.67E-05,,-1
215,0,0,0,0,26,-1.47E-05,-1.46E-06,0,0,0,0,1,0,-2.81E-05,,1
216,0.028571429,0.082857143,2,1,64.5,-1.56E-05,-6.23E-07,0,0,0,0,0,-5.72E-08,-1.94E-05,,1
